respondent_id,city,neighbourhood,migrant_status,age_group,country_of_origin,household_size_group,trust_police,trust_councillor,trust_mayor,trust_traditional_leaders,trust_local_people,trust_country_people_local,trust_neighbours,trust_service_providers,trust_religious_leaders,trust_other_religious_leaders,trust_business_people,trust_judges,belong_here,close_to_neighbours,neighbourhood_cares,future_in_neighbourhood,feel_supported,perceived_outsider,discrimination_gender,discrimination_religion,discrimination_ethnicity,discrimination_origin,discrimination_economic_status,discrimination_political,stay_or_go,plans_to_move_2_6_months,medium_term_goal,long_term_goal,moving_good_way_to_get_ahead
resp_0459,Johannesburg,Katlehong,Born in country,18–24,Mozambique,1,Yes,Yes,Don't know,Don't know,Yes,No,Yes,Yes,Don't know,No,Yes,Yes,Yes,Yes,Yes,Don't know,Yes,Yes,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Stay here,No
resp_0460,Nairobi,Kayole,Born outside country,45–54,Kenya,4–5,Yes,Yes,Yes,Yes,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Several times,Never,Once or twice,Once or twice,Once or twice,Don't know,Stay in neighbourhood,No,Stay here,Stay here,Don't know
resp_0461,Johannesburg,Katlehong,Born in country,35–44,Mozambique,2–3,Don't know,Don't know,Don't know,No,Yes,Yes,Yes,Mixed,Yes,No,Mixed,Don't know,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Leave country,Don't know,Stay here,Don't know,Don't know
resp_0462,Johannesburg,Katlehong,Born outside country,18–24,South Africa,2–3,Yes,Yes,Yes,Don't know,Yes,Yes,Yes,Yes,Yes,No,Mixed,Mixed,Yes,Don't know,Don't know,Don't know,Don't know,No,Never,Never,Never,Never,Never,Never,Move within country,Yes,Move within city,Don't know,Yes
resp_0463,Johannesburg,Katlehong,Born in country,55+,Zimbabwe,1,Yes,Yes,Yes,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Mixed,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Once or twice,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Don't know,Yes
resp_0464,Accra,James Town,Born in country,25–34,Ghana,2–3,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Yes,Yes,No,Yes,Mixed,Yes,Yes,Yes,Yes,Yes,No,Once or twice,Never,Never,Once or twice,Never,Never,Leave country,Yes,Move to third country,Move to third country,Yes
resp_0465,Nairobi,Kayole,Born outside country,25–34,Kenya,6+,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Stay here,No
resp_0466,Nairobi,Kayole,Born outside country,25–34,Kenya,4–5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Stay here,Don't know
resp_0467,Johannesburg,Katlehong,Born outside country,45–54,South Africa,2–3,No,Don't know,Don't know,Don't know,Yes,Yes,Yes,Mixed,Don't know,Mixed,Yes,No,Yes,Yes,Don't know,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Stay here,No
resp_0468,Johannesburg,Katlehong,Born in country,35–44,Zimbabwe,2–3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Stay in neighbourhood,No,Stay here,Stay here,No
resp_0469,Johannesburg,Katlehong,Born in country,35–44,Zimbabwe,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Stay in neighbourhood,No,Stay here,Stay here,No
resp_0470,Nairobi,Kayole,Born outside country,18–24,Kenya,2–3,No,Yes,Yes,Yes,Mixed,Mixed,Mixed,Mixed,Don't know,Don't know,Mixed,Don't know,Yes,Yes,Yes,No,Yes,Yes,Never,Never,Never,Never,Once or twice,Not applicable,Move within country,No,Stay here,Move within home country,Don't know
resp_0471,Nairobi,Kayole,Born outside country,35–44,Kenya,4–5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Stay here,No
resp_0472,Accra,Old Fadama,Born outside country,18–24,Ghana,2–3,No,Mixed,No,Yes,Mixed,Mixed,Mixed,Yes,Yes,Mixed,Mixed,Mixed,Yes,Yes,Yes,No,Yes,Yes,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Move within city,Move to third country,Yes
resp_0473,Nairobi,Kayole,Born outside country,25–34,Kenya,6+,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Many times,Many times,Several times,Never,Stay in neighbourhood,No,Stay here,Stay here,Yes
resp_0474,Nairobi,Kayole,Born outside country,25–34,Kenya,2–3,Yes,Yes,Don't know,Yes,No,Don't know,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Don't know,Don't know,No,No,Never,Never,Once or twice,Never,Never,Never,Stay in neighbourhood,No,Stay here,Return to origin community,Yes
resp_0475,Accra,Old Fadama,Born outside country,25–34,Ghana,1,Mixed,No,No,Mixed,No,Mixed,Mixed,Yes,Yes,Mixed,Mixed,No,Yes,No,No,No,Yes,No,Never,Never,Never,Never,Never,Never,Move within country,No,Move within city,Don't know,No
resp_0476,Accra,James Town,Born in country,45–54,Benin,2–3,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Mixed,No,No,No,No,No,Yes,Never,Never,Never,Once or twice,Never,Never,Stay in neighbourhood,No,Stay here,Stay here,No
resp_0477,Nairobi,Kayole,Born in country,25–34,Democratic Republic of the Congo,2–3,No,Yes,Yes,No,Mixed,Mixed,Mixed,Mixed,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Never,Never,Once or twice,Several times,Several times,Never,Leave country,No,Stay here,Move to third country,No
resp_0478,Nairobi,Kayole,Born in country,25–34,Uganda,4–5,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Stay here,Yes
resp_0479,Nairobi,Kayole,Born outside country,35–44,Kenya,2–3,No,No,No,No,Mixed,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Never,Never,Never,Never,Never,Never,Leave country,Yes,Move within city,Move within city,Yes
resp_0480,Accra,James Town,Born in country,35–44,Burkina Faso,1,No,No,No,No,Mixed,Mixed,Mixed,Yes,Yes,Yes,Mixed,No,Yes,Yes,No,Yes,Yes,Yes,Never,Several times,Once or twice,Several times,Once or twice,Never,Stay in neighbourhood,No,Stay here,Stay here,No
resp_0481,Accra,James Town,Born in country,35–44,Niger,4–5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Once or twice,Once or twice,Once or twice,Once or twice,Once or twice,Never,Move within country,No,Move within city,Move within city,No
resp_0482,Nairobi,Kayole,Born outside country,18–24,Kenya,2–3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Move within country,No,Stay here,Other,Yes
resp_0483,Accra,Madina,Born outside country,18–24,Ghana,2–3,Yes,Yes,No,Mixed,Yes,Yes,Yes,Yes,Yes,Mixed,Yes,Yes,No,No,Yes,Yes,No,Yes,Several times,Never,Once or twice,Several times,Several times,Never,Stay in neighbourhood,No,Stay here,Stay here,Yes
resp_0484,Accra,Old Fadama,Born outside country,25–34,Nigeria,2–3,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Mixed,Yes,Yes,Mixed,Mixed,Mixed,Yes,Yes,Yes,Yes,Yes,Yes,Never,Never,Never,Never,Never,Never,Leave country,No,Stay here,Move to third country,Yes
resp_0485,Accra,Madina,Born outside country,25–34,Ghana,4–5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Leave country,No,Stay here,Move to third country,Yes
resp_0486,Accra,Madina,Born outside country,45–54,Ghana,2–3,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Stay in neighbourhood,No,Stay here,Stay here,Yes
resp_0487,Accra,Old Fadama,Born in country,25–34,Nigeria,1,No,No,No,No,No,Yes,Yes,Mixed,Yes,Yes,Yes,Mixed,No,No,No,No,Yes,Yes,Never,Never,Several times,Several times,Several times,Never,Move within country,No,Move within home country,Move within home country,No
resp_0488,Accra,Madina,Born outside country,25–34,Ghana,4–5,No,No,No,No,No,No,Mixed,No,Yes,Mixed,No,No,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Leave country,Yes,Stay here,Move within city,Yes
resp_0489,Accra,James Town,Born outside country,25–34,Ghana,2–3,Mixed,Mixed,No,Mixed,Mixed,No,Mixed,Yes,Yes,No,Mixed,Mixed,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Several times,Never,Stay in neighbourhood,No,Stay here,Stay here,No
resp_0490,Accra,Old Fadama,Born outside country,35–44,Ghana,4–5,No,No,Don't know,No,Mixed,Mixed,Mixed,Mixed,Yes,Yes,Yes,Don't know,Yes,Yes,No,No,Yes,No,Never,Never,Never,Never,Never,Never,Move within country,No,Stay here,Move within home country,Yes
resp_0491,Accra,James Town,Born in country,55+,Nigeria,1,No,No,No,Don't know,Mixed,No,Mixed,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Never,Never,Once or twice,Once or twice,Several times,Not applicable,Move within country,No,Don't know,Return to origin community,No
resp_0492,Accra,Madina,Born outside country,25–34,Togo,6+,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Never,Never,Never,Never,Never,Never,Leave country,No,Move within city,Don't know,Yes
resp_0493,Accra,Madina,Born in country,18–24,Nigeria,2–3,No,No,Mixed,Mixed,Mixed,Mixed,No,No,No,No,No,No,No,No,No,No,No,Yes,Many times,Once or twice,Several times,Many times,Several times,Never,Leave country,No,Return to origin community,Return to origin community,Yes
