geography_level,city,neighbourhood,variable,category,n,pct
city,Johannesburg,All,long_term_goal,Move within home country,30,5.83
city,Johannesburg,All,long_term_goal,Move to third country,16,3.11
city,Johannesburg,All,long_term_goal,Other,10,1.94
city,Johannesburg,All,long_term_goal,Missing,5,0.97
neighbourhood,Nairobi,Kawangware,belong_here,Yes,169,81.64
neighbourhood,Nairobi,Kawangware,belong_here,No,29,14.01
neighbourhood,Nairobi,Kawangware,belong_here,Missing,9,4.35
neighbourhood,Nairobi,Kayole,belong_here,Yes,150,87.21
neighbourhood,Nairobi,Kayole,belong_here,No,21,12.21
neighbourhood,Nairobi,Kayole,belong_here,Missing,1,0.58
neighbourhood,Nairobi,Ongata Rongai,belong_here,Yes,153,91.07
neighbourhood,Nairobi,Ongata Rongai,belong_here,No,15,8.93
neighbourhood,Accra,Madina,belong_here,Yes,187,84.23
neighbourhood,Accra,Madina,belong_here,No,34,15.32
neighbourhood,Accra,Madina,belong_here,Missing,1,0.45
neighbourhood,Accra,Old Fadama,belong_here,Yes,132,70.21
neighbourhood,Accra,Old Fadama,belong_here,No,55,29.26
neighbourhood,Accra,Old Fadama,belong_here,Missing,1,0.53
neighbourhood,Accra,James Town,belong_here,Yes,117,68.42
neighbourhood,Accra,James Town,belong_here,No,54,31.58
neighbourhood,Johannesburg,Berea,belong_here,Yes,144,78.69
neighbourhood,Johannesburg,Berea,belong_here,No,38,20.77
neighbourhood,Johannesburg,Berea,belong_here,Missing,1,0.55
neighbourhood,Johannesburg,Katlehong,belong_here,Yes,139,82.74
neighbourhood,Johannesburg,Katlehong,belong_here,No,29,17.26
neighbourhood,Johannesburg,Diepsloot,belong_here,Yes,130,79.27
neighbourhood,Johannesburg,Diepsloot,belong_here,No,34,20.73
neighbourhood,Nairobi,Kawangware,perceived_outsider,No,162,78.26
neighbourhood,Nairobi,Kawangware,perceived_outsider,Yes,32,15.46
neighbourhood,Nairobi,Kawangware,perceived_outsider,Missing,9,4.35
neighbourhood,Nairobi,Kawangware,perceived_outsider,Don't know,4,1.93
neighbourhood,Nairobi,Kayole,perceived_outsider,No,138,80.23
neighbourhood,Nairobi,Kayole,perceived_outsider,Yes,32,18.6
neighbourhood,Nairobi,Kayole,perceived_outsider,Missing,1,0.58
neighbourhood,Nairobi,Kayole,perceived_outsider,Don't know,1,0.58
neighbourhood,Nairobi,Ongata Rongai,perceived_outsider,No,141,83.93
neighbourhood,Nairobi,Ongata Rongai,perceived_outsider,Yes,25,14.88
neighbourhood,Nairobi,Ongata Rongai,perceived_outsider,Don't know,2,1.19
neighbourhood,Accra,Madina,perceived_outsider,No,172,77.48
neighbourhood,Accra,Madina,perceived_outsider,Yes,47,21.17
neighbourhood,Accra,Madina,perceived_outsider,Don't know,2,0.9
neighbourhood,Accra,Madina,perceived_outsider,Missing,1,0.45
neighbourhood,Accra,Old Fadama,perceived_outsider,No,120,63.83
neighbourhood,Accra,Old Fadama,perceived_outsider,Yes,63,33.51
neighbourhood,Accra,Old Fadama,perceived_outsider,Don't know,4,2.13
neighbourhood,Accra,Old Fadama,perceived_outsider,Missing,1,0.53
neighbourhood,Accra,James Town,perceived_outsider,No,103,60.23
neighbourhood,Accra,James Town,perceived_outsider,Yes,65,38.01
neighbourhood,Accra,James Town,perceived_outsider,Don't know,3,1.75
neighbourhood,Johannesburg,Berea,perceived_outsider,No,145,79.23
neighbourhood,Johannesburg,Berea,perceived_outsider,Yes,34,18.58
neighbourhood,Johannesburg,Berea,perceived_outsider,Don't know,3,1.64
neighbourhood,Johannesburg,Berea,perceived_outsider,Missing,1,0.55
neighbourhood,Johannesburg,Katlehong,perceived_outsider,No,127,75.6
neighbourhood,Johannesburg,Katlehong,perceived_outsider,Yes,40,23.81
neighbourhood,Johannesburg,Katlehong,perceived_outsider,Don't know,1,0.6
neighbourhood,Johannesburg,Diepsloot,perceived_outsider,No,141,85.98
neighbourhood,Johannesburg,Diepsloot,perceived_outsider,Yes,23,14.02
neighbourhood,Nairobi,Kawangware,trust_police,No,84,40.58
neighbourhood,Nairobi,Kawangware,trust_police,Yes,80,38.65
neighbourhood,Nairobi,Kawangware,trust_police,Mixed,30,14.49
neighbourhood,Nairobi,Kawangware,trust_police,Missing,9,4.35
neighbourhood,Nairobi,Kawangware,trust_police,Don't know,4,1.93
neighbourhood,Nairobi,Kayole,trust_police,Yes,83,48.26
neighbourhood,Nairobi,Kayole,trust_police,No,65,37.79
neighbourhood,Nairobi,Kayole,trust_police,Mixed,21,12.21
neighbourhood,Nairobi,Kayole,trust_police,Don't know,2,1.16
neighbourhood,Nairobi,Kayole,trust_police,Missing,1,0.58
neighbourhood,Nairobi,Ongata Rongai,trust_police,Yes,95,56.55
neighbourhood,Nairobi,Ongata Rongai,trust_police,No,44,26.19
neighbourhood,Nairobi,Ongata Rongai,trust_police,Mixed,25,14.88
neighbourhood,Nairobi,Ongata Rongai,trust_police,Don't know,4,2.38
neighbourhood,Accra,Madina,trust_police,No,94,42.34
neighbourhood,Accra,Madina,trust_police,Yes,73,32.88
neighbourhood,Accra,Madina,trust_police,Mixed,40,18.02
neighbourhood,Accra,Madina,trust_police,Don't know,14,6.31
neighbourhood,Accra,Madina,trust_police,Missing,1,0.45
neighbourhood,Accra,Old Fadama,trust_police,No,84,44.68
neighbourhood,Accra,Old Fadama,trust_police,Mixed,51,27.13
neighbourhood,Accra,Old Fadama,trust_police,Yes,46,24.47
neighbourhood,Accra,Old Fadama,trust_police,Don't know,6,3.19
neighbourhood,Accra,Old Fadama,trust_police,Missing,1,0.53
neighbourhood,Accra,James Town,trust_police,Mixed,64,37.43
neighbourhood,Accra,James Town,trust_police,Yes,62,36.26
neighbourhood,Accra,James Town,trust_police,No,44,25.73
neighbourhood,Accra,James Town,trust_police,Don't know,1,0.58
neighbourhood,Johannesburg,Berea,trust_police,Yes,79,43.17
neighbourhood,Johannesburg,Berea,trust_police,No,61,33.33
neighbourhood,Johannesburg,Berea,trust_police,Mixed,40,21.86
neighbourhood,Johannesburg,Berea,trust_police,Don't know,2,1.09
neighbourhood,Johannesburg,Berea,trust_police,Missing,1,0.55
neighbourhood,Johannesburg,Katlehong,trust_police,Yes,72,42.86
neighbourhood,Johannesburg,Katlehong,trust_police,No,70,41.67
neighbourhood,Johannesburg,Katlehong,trust_police,Mixed,21,12.5
neighbourhood,Johannesburg,Katlehong,trust_police,Don't know,5,2.98
neighbourhood,Johannesburg,Diepsloot,trust_police,No,71,43.29
neighbourhood,Johannesburg,Diepsloot,trust_police,Yes,65,39.63
neighbourhood,Johannesburg,Diepsloot,trust_police,Mixed,26,15.85
neighbourhood,Johannesburg,Diepsloot,trust_police,Don't know,2,1.22
neighbourhood,Nairobi,Kawangware,trust_councillor,No,101,48.79
neighbourhood,Nairobi,Kawangware,trust_councillor,Yes,72,34.78
neighbourhood,Nairobi,Kawangware,trust_councillor,Mixed,15,7.25
neighbourhood,Nairobi,Kawangware,trust_councillor,Don't know,10,4.83
neighbourhood,Nairobi,Kawangware,trust_councillor,Missing,9,4.35
neighbourhood,Nairobi,Kayole,trust_councillor,Yes,79,45.93
neighbourhood,Nairobi,Kayole,trust_councillor,No,63,36.63
neighbourhood,Nairobi,Kayole,trust_councillor,Mixed,20,11.63
neighbourhood,Nairobi,Kayole,trust_councillor,Don't know,9,5.23
neighbourhood,Nairobi,Kayole,trust_councillor,Missing,1,0.58
neighbourhood,Nairobi,Ongata Rongai,trust_councillor,Yes,87,51.79
neighbourhood,Nairobi,Ongata Rongai,trust_councillor,No,44,26.19
neighbourhood,Nairobi,Ongata Rongai,trust_councillor,Mixed,26,15.48
neighbourhood,Nairobi,Ongata Rongai,trust_councillor,Don't know,11,6.55
neighbourhood,Accra,Madina,trust_councillor,No,111,50.0
neighbourhood,Accra,Madina,trust_councillor,Yes,68,30.63
neighbourhood,Accra,Madina,trust_councillor,Don't know,23,10.36
neighbourhood,Accra,Madina,trust_councillor,Mixed,19,8.56
neighbourhood,Accra,Madina,trust_councillor,Missing,1,0.45
neighbourhood,Accra,Old Fadama,trust_councillor,No,77,40.96
neighbourhood,Accra,Old Fadama,trust_councillor,Mixed,46,24.47
neighbourhood,Accra,Old Fadama,trust_councillor,Yes,40,21.28
neighbourhood,Accra,Old Fadama,trust_councillor,Don't know,24,12.77
neighbourhood,Accra,Old Fadama,trust_councillor,Missing,1,0.53
neighbourhood,Accra,James Town,trust_councillor,Mixed,60,35.09
neighbourhood,Accra,James Town,trust_councillor,Yes,50,29.24
neighbourhood,Accra,James Town,trust_councillor,No,43,25.15
neighbourhood,Accra,James Town,trust_councillor,Don't know,18,10.53
neighbourhood,Johannesburg,Berea,trust_councillor,No,66,36.07
neighbourhood,Johannesburg,Berea,trust_councillor,Yes,49,26.78
neighbourhood,Johannesburg,Berea,trust_councillor,Don't know,43,23.5
neighbourhood,Johannesburg,Berea,trust_councillor,Mixed,24,13.11
neighbourhood,Johannesburg,Berea,trust_councillor,Missing,1,0.55
neighbourhood,Johannesburg,Katlehong,trust_councillor,No,81,48.21
neighbourhood,Johannesburg,Katlehong,trust_councillor,Yes,57,33.93
neighbourhood,Johannesburg,Katlehong,trust_councillor,Mixed,15,8.93
neighbourhood,Johannesburg,Katlehong,trust_councillor,Don't know,15,8.93
neighbourhood,Johannesburg,Diepsloot,trust_councillor,No,82,50.0
neighbourhood,Johannesburg,Diepsloot,trust_councillor,Yes,41,25.0
neighbourhood,Johannesburg,Diepsloot,trust_councillor,Mixed,23,14.02
neighbourhood,Johannesburg,Diepsloot,trust_councillor,Don't know,18,10.98
neighbourhood,Nairobi,Kawangware,trust_neighbours,Yes,130,62.8
neighbourhood,Nairobi,Kawangware,trust_neighbours,Mixed,36,17.39
neighbourhood,Nairobi,Kawangware,trust_neighbours,No,30,14.49
neighbourhood,Nairobi,Kawangware,trust_neighbours,Missing,9,4.35
neighbourhood,Nairobi,Kawangware,trust_neighbours,Don't know,2,0.97
neighbourhood,Nairobi,Kayole,trust_neighbours,Yes,118,68.6
neighbourhood,Nairobi,Kayole,trust_neighbours,Mixed,40,23.26
neighbourhood,Nairobi,Kayole,trust_neighbours,No,12,6.98
neighbourhood,Nairobi,Kayole,trust_neighbours,Missing,1,0.58
neighbourhood,Nairobi,Kayole,trust_neighbours,Don't know,1,0.58
neighbourhood,Nairobi,Ongata Rongai,trust_neighbours,Yes,120,71.43
neighbourhood,Nairobi,Ongata Rongai,trust_neighbours,Mixed,36,21.43
neighbourhood,Nairobi,Ongata Rongai,trust_neighbours,No,8,4.76
