geography_level,city,neighbourhood,variable,category,n,denominator,share
neighbourhood,Johannesburg,Berea,belong_here,Yes,144,,0.7868999999999999
neighbourhood,Johannesburg,Berea,belong_here,No,38,,0.2077
neighbourhood,Johannesburg,Berea,belong_here,Missing,1,,0.0055000000000000005
neighbourhood,Johannesburg,Katlehong,belong_here,Yes,139,,0.8273999999999999
neighbourhood,Johannesburg,Katlehong,belong_here,No,29,,0.1726
neighbourhood,Johannesburg,Diepsloot,belong_here,Yes,130,,0.7927
neighbourhood,Johannesburg,Diepsloot,belong_here,No,34,,0.2073
neighbourhood,Nairobi,Kawangware,perceived_outsider,No,162,,0.7826000000000001
neighbourhood,Nairobi,Kawangware,perceived_outsider,Yes,32,,0.15460000000000002
neighbourhood,Nairobi,Kawangware,perceived_outsider,Missing,9,,0.0435
neighbourhood,Nairobi,Kawangware,perceived_outsider,Don't know,4,,0.019299999999999998
neighbourhood,Nairobi,Kayole,perceived_outsider,No,138,,0.8023
neighbourhood,Nairobi,Kayole,perceived_outsider,Yes,32,,0.18600000000000003
neighbourhood,Nairobi,Kayole,perceived_outsider,Missing,1,,0.0058
neighbourhood,Nairobi,Kayole,perceived_outsider,Don't know,1,,0.0058
neighbourhood,Nairobi,Ongata Rongai,perceived_outsider,No,141,,0.8393
neighbourhood,Nairobi,Ongata Rongai,perceived_outsider,Yes,25,,0.14880000000000002
neighbourhood,Nairobi,Ongata Rongai,perceived_outsider,Don't know,2,,0.011899999999999999
neighbourhood,Accra,Madina,perceived_outsider,No,172,,0.7748
neighbourhood,Accra,Madina,perceived_outsider,Yes,47,,0.21170000000000003
neighbourhood,Accra,Madina,perceived_outsider,Don't know,2,,0.009000000000000001
neighbourhood,Accra,Madina,perceived_outsider,Missing,1,,0.0045000000000000005
neighbourhood,Accra,Old Fadama,perceived_outsider,No,120,,0.6383
neighbourhood,Accra,Old Fadama,perceived_outsider,Yes,63,,0.33509999999999995
neighbourhood,Accra,Old Fadama,perceived_outsider,Don't know,4,,0.0213
neighbourhood,Accra,Old Fadama,perceived_outsider,Missing,1,,0.0053
neighbourhood,Accra,James Town,perceived_outsider,No,103,,0.6023
neighbourhood,Accra,James Town,perceived_outsider,Yes,65,,0.3801
neighbourhood,Accra,James Town,perceived_outsider,Don't know,3,,0.0175
neighbourhood,Johannesburg,Berea,perceived_outsider,No,145,,0.7923
neighbourhood,Johannesburg,Berea,perceived_outsider,Yes,34,,0.1858
neighbourhood,Johannesburg,Berea,perceived_outsider,Don't know,3,,0.016399999999999998
neighbourhood,Johannesburg,Berea,perceived_outsider,Missing,1,,0.0055000000000000005
neighbourhood,Johannesburg,Katlehong,perceived_outsider,No,127,,0.7559999999999999
neighbourhood,Johannesburg,Katlehong,perceived_outsider,Yes,40,,0.23809999999999998
neighbourhood,Johannesburg,Katlehong,perceived_outsider,Don't know,1,,0.006
neighbourhood,Johannesburg,Diepsloot,perceived_outsider,No,141,,0.8598
neighbourhood,Johannesburg,Diepsloot,perceived_outsider,Yes,23,,0.1402
neighbourhood,Nairobi,Kawangware,trust_police,No,84,,0.4058
neighbourhood,Nairobi,Kawangware,trust_police,Yes,80,,0.3865
neighbourhood,Nairobi,Kawangware,trust_police,Mixed,30,,0.1449
neighbourhood,Nairobi,Kawangware,trust_police,Missing,9,,0.0435
neighbourhood,Nairobi,Kawangware,trust_police,Don't know,4,,0.019299999999999998
neighbourhood,Nairobi,Kayole,trust_police,Yes,83,,0.4826
neighbourhood,Nairobi,Kayole,trust_police,No,65,,0.3779
neighbourhood,Nairobi,Kayole,trust_police,Mixed,21,,0.12210000000000001
neighbourhood,Nairobi,Kayole,trust_police,Don't know,2,,0.0116
neighbourhood,Nairobi,Kayole,trust_police,Missing,1,,0.0058
neighbourhood,Nairobi,Ongata Rongai,trust_police,Yes,95,,0.5655
neighbourhood,Nairobi,Ongata Rongai,trust_police,No,44,,0.2619
neighbourhood,Nairobi,Ongata Rongai,trust_police,Mixed,25,,0.14880000000000002
neighbourhood,Nairobi,Ongata Rongai,trust_police,Don't know,4,,0.023799999999999998
neighbourhood,Accra,Madina,trust_police,No,94,,0.42340000000000005
neighbourhood,Accra,Madina,trust_police,Yes,73,,0.32880000000000004
neighbourhood,Accra,Madina,trust_police,Mixed,40,,0.1802
neighbourhood,Accra,Madina,trust_police,Don't know,14,,0.06309999999999999
neighbourhood,Accra,Madina,trust_police,Missing,1,,0.0045000000000000005
neighbourhood,Accra,Old Fadama,trust_police,No,84,,0.4468
neighbourhood,Accra,Old Fadama,trust_police,Mixed,51,,0.2713
neighbourhood,Accra,Old Fadama,trust_police,Yes,46,,0.2447
neighbourhood,Accra,Old Fadama,trust_police,Don't know,6,,0.0319
neighbourhood,Accra,Old Fadama,trust_police,Missing,1,,0.0053
neighbourhood,Accra,James Town,trust_police,Mixed,64,,0.3743
neighbourhood,Accra,James Town,trust_police,Yes,62,,0.3626
neighbourhood,Accra,James Town,trust_police,No,44,,0.25730000000000003
neighbourhood,Accra,James Town,trust_police,Don't know,1,,0.0058
neighbourhood,Johannesburg,Berea,trust_police,Yes,79,,0.43170000000000003
neighbourhood,Johannesburg,Berea,trust_police,No,61,,0.3333
neighbourhood,Johannesburg,Berea,trust_police,Mixed,40,,0.2186
neighbourhood,Johannesburg,Berea,trust_police,Don't know,2,,0.0109
neighbourhood,Johannesburg,Berea,trust_police,Missing,1,,0.0055000000000000005
neighbourhood,Johannesburg,Katlehong,trust_police,Yes,72,,0.4286
