site_code,city,jhb_neighbourhood,accra_neighbourhood,nairobi_neighbourhood,age_group,gender,migrant_status,education_group,employment_status
294660,Johannesburg,Berea,-1,-1,25-34,Male,Non-migrant,Secondary,Employed
294661,Johannesburg,Berea,-1,-1,45-54,Female,Migrant,Primary,Employed
294662,Johannesburg,Berea,-1,-1,55+,Female,Migrant,Primary,Employed
294665,Johannesburg,Berea,-1,-1,35-44,Male,Migrant,Secondary,Missing
294666,Johannesburg,Berea,-1,-1,35-44,Male,Migrant,Secondary,Employed
295500,Johannesburg,Berea,-1,-1,35-44,Male,Non-migrant,Primary,Missing
295501,Johannesburg,Berea,-1,-1,25-34,Female,Migrant,Primary,Unemployed
295502,Johannesburg,Berea,-1,-1,35-44,Female,Non-migrant,No formal schooling,Employed
295506,Johannesburg,Berea,-1,-1,25-34,Female,Migrant,Missing,Missing
295513,Johannesburg,Berea,-1,-1,55+,Female,Migrant,Secondary,Missing
295515,Johannesburg,Berea,-1,-1,45-54,Female,Migrant,Secondary,Missing
295516,Johannesburg,Berea,-1,-1,25-34,Male,Non-migrant,Secondary,Missing
295518,Johannesburg,Berea,-1,-1,25-34,Female,Non-migrant,Tertiary,Missing
295520,Johannesburg,Berea,-1,-1,25-34,Male,Migrant,Secondary,Unemployed
295523,Johannesburg,Berea,-1,-1,18-24,Male,Migrant,Secondary,Unemployed
295524,Johannesburg,Berea,-1,-1,18-24,Male,Migrant,Secondary,Employed
295534,Johannesburg,Berea,-1,-1,35-44,Male,Non-migrant,Secondary,Unemployed
295540,Johannesburg,Berea,-1,-1,35-44,Male,Non-migrant,Primary,Missing
295543,Johannesburg,Berea,-1,-1,45-54,Male,Non-migrant,Missing,Employed
295547,Johannesburg,Berea,-1,-1,25-34,Female,Non-migrant,Missing,Employed
295548,Johannesburg,Berea,-1,-1,18-24,Female,Migrant,Secondary,Unemployed
295553,Johannesburg,Berea,-1,-1,55+,Female,Migrant,No formal schooling,Missing
295575,Johannesburg,Berea,-1,-1,25-34,Male,Migrant,Primary,Unemployed
295580,Johannesburg,Berea,-1,-1,18-24,Female,Migrant,Secondary,Unemployed
295581,Johannesburg,Berea,-1,-1,35-44,Male,Migrant,Missing,Missing
295583,Johannesburg,Berea,-1,-1,25-34,Female,Non-migrant,Secondary,Employed
295584,Johannesburg,Berea,-1,-1,35-44,Female,Migrant,Secondary,Missing
295585,Johannesburg,Berea,-1,-1,25-34,Male,Migrant,Secondary,Missing
295586,Johannesburg,Berea,-1,-1,25-34,Male,Migrant,Missing,Missing
295587,Johannesburg,Berea,-1,-1,18-24,Female,Migrant,Secondary,Student
295593,Johannesburg,Berea,-1,-1,35-44,Male,Migrant,Secondary,Missing
295594,Johannesburg,Berea,-1,-1,25-34,Male,Migrant,Secondary,Missing
295595,Johannesburg,Berea,-1,-1,18-24,Female,Migrant,Secondary,Student
295597,Johannesburg,Berea,-1,-1,18-24,Female,Migrant,Secondary,Student
295598,Johannesburg,Berea,-1,-1,25-34,Female,Migrant,Secondary,Unemployed
295599,Johannesburg,Berea,-1,-1,25-34,Male,Migrant,Primary,Missing
295600,Johannesburg,Berea,-1,-1,35-44,Female,Migrant,Secondary,Employed
295601,Johannesburg,Berea,-1,-1,25-34,Male,Non-migrant,Secondary,Employed
295602,Johannesburg,Berea,-1,-1,35-44,Female,Migrant,Secondary,Missing
295604,Johannesburg,Berea,-1,-1,25-34,Male,Migrant,Secondary,Missing
296009,Johannesburg,Berea,-1,-1,25-34,Female,Migrant,Secondary,Unemployed
296015,Johannesburg,Berea,-1,-1,55+,Male,Migrant,Missing,Missing
296034,Johannesburg,Berea,-1,-1,25-34,Male,Non-migrant,Missing,Employed
296043,Johannesburg,Berea,-1,-1,35-44,Male,Non-migrant,Primary,Unemployed
296044,Johannesburg,Berea,-1,-1,35-44,Female,Non-migrant,Secondary,Missing
296050,Johannesburg,Berea,-1,-1,25-34,Female,Migrant,Secondary,Unemployed
296051,Johannesburg,Berea,-1,-1,25-34,Male,Non-migrant,Missing,Employed
296073,Johannesburg,Berea,-1,-1,45-54,Female,Non-migrant,Primary,Employed
296074,Johannesburg,Berea,-1,-1,45-54,Female,Migrant,Missing,Missing
296080,Johannesburg,Berea,-1,-1,25-34,Female,Migrant,Secondary,Unemployed
296102,Johannesburg,Berea,-1,-1,35-44,Male,Non-migrant,Primary,Missing
296103,Johannesburg,Berea,-1,-1,25-34,Male,Migrant,Secondary,Unemployed
296104,Johannesburg,Berea,-1,-1,18-24,Female,Non-migrant,Secondary,Student
296106,Johannesburg,Berea,-1,-1,25-34,Male,Migrant,Secondary,Missing
296107,Johannesburg,Berea,-1,-1,18-24,Male,Non-migrant,Primary,Unemployed
296108,Johannesburg,Berea,-1,-1,18-24,Female,Non-migrant,Secondary,Student
296138,Johannesburg,Berea,-1,-1,35-44,Female,Migrant,Secondary,Missing
296139,Johannesburg,Berea,-1,-1,25-34,Male,Non-migrant,Secondary,Employed
296140,Johannesburg,Berea,-1,-1,25-34,Male,Non-migrant,Primary,Missing
296141,Johannesburg,Berea,-1,-1,25-34,Female,Non-migrant,Secondary,Employed
296144,Johannesburg,Berea,-1,-1,45-54,Male,Non-migrant,Secondary,Missing
296158,Johannesburg,Berea,-1,-1,55+,Male,Migrant,Secondary,Unemployed
296161,Johannesburg,Berea,-1,-1,18-24,Male,Migrant,Secondary,Missing
296162,Johannesburg,Berea,-1,-1,35-44,Male,Non-migrant,Tertiary,Missing
296163,Johannesburg,Berea,-1,-1,25-34,Female,Non-migrant,Secondary,Student
296164,Johannesburg,Berea,-1,-1,25-34,Female,Non-migrant,Missing,Unemployed
296165,Johannesburg,Berea,-1,-1,45-54,Female,Non-migrant,Primary,Employed
296170,Johannesburg,Berea,-1,-1,45-54,Male,Non-migrant,No formal schooling,Missing
296172,Johannesburg,Berea,-1,-1,18-24,Male,Migrant,Secondary,Missing
296173,Johannesburg,Berea,-1,-1,18-24,Female,Migrant,Secondary,Student
296174,Johannesburg,Berea,-1,-1,35-44,Female,Migrant,Secondary,Employed
296175,Johannesburg,Berea,-1,-1,25-34,Female,Non-migrant,Tertiary,Missing
296682,Johannesburg,Berea,-1,-1,35-44,Female,Non-migrant,Primary,Unemployed
296683,Johannesburg,Berea,-1,-1,25-34,Male,Non-migrant,Tertiary,Missing
296692,Johannesburg,Berea,-1,-1,35-44,Male,Non-migrant,Secondary,Missing
296693,Johannesburg,Berea,-1,-1,35-44,Male,Non-migrant,Missing,Missing
296790,Johannesburg,Berea,-1,-1,25-34,Male,Migrant,Secondary,Missing
296791,Johannesburg,Berea,-1,-1,35-44,Female,Migrant,Secondary,Missing
296792,Johannesburg,Berea,-1,-1,18-24,Male,Non-migrant,Primary,Missing
296793,Johannesburg,Berea,-1,-1,25-34,Female,Non-migrant,Primary,Employed
296804,Johannesburg,Berea,-1,-1,45-54,Female,Migrant,Secondary,Unemployed
296805,Johannesburg,Berea,-1,-1,18-24,Female,Non-migrant,Tertiary,Missing
296806,Johannesburg,Berea,-1,-1,25-34,Male,Migrant,Secondary,Missing
296807,Johannesburg,Berea,-1,-1,25-34,Male,Migrant,Missing,Unemployed
296813,Johannesburg,Berea,-1,-1,55+,Male,Migrant,Primary,Missing
296814,Johannesburg,Berea,-1,-1,18-24,Male,Migrant,Secondary,Student
296815,Johannesburg,Berea,-1,-1,45-54,Female,Non-migrant,Primary,Unemployed
296816,Johannesburg,Berea,-1,-1,55+,Male,Migrant,Primary,Missing
296817,Johannesburg,Berea,-1,-1,35-44,Male,Migrant,Primary,Unemployed
296818,Johannesburg,Berea,-1,-1,25-34,Female,Migrant,Secondary,Unemployed
296819,Johannesburg,Berea,-1,-1,25-34,Male,Migrant,Tertiary,Employed
296820,Johannesburg,Berea,-1,-1,35-44,Female,Migrant,Missing,Unemployed
296821,Johannesburg,Berea,-1,-1,18-24,Male,Non-migrant,Missing,Student
296822,Johannesburg,Berea,-1,-1,18-24,Female,Non-migrant,Missing,Unemployed
296831,Johannesburg,Berea,-1,-1,45-54,Male,Non-migrant,Primary,Missing
296832,Johannesburg,Berea,-1,-1,35-44,Male,Migrant,Secondary,Missing
296833,Johannesburg,Berea,-1,-1,25-34,Female,Migrant,Secondary,Student
296844,Johannesburg,Berea,-1,-1,25-34,Male,Migrant,Secondary,Missing
296845,Johannesburg,Berea,-1,-1,45-54,Female,Non-migrant,Secondary,Employed
296846,Johannesburg,Berea,-1,-1,35-44,Female,Migrant,Secondary,Unemployed
296848,Johannesburg,Berea,-1,-1,18-24,Male,Migrant,Secondary,Student
296849,Johannesburg,Berea,-1,-1,25-34,Female,Migrant,Tertiary,Unemployed
296851,Johannesburg,Berea,-1,-1,25-34,Female,Non-migrant,Secondary,Missing
297228,Johannesburg,Berea,-1,-1,45-54,Male,Migrant,Secondary,Missing
297229,Johannesburg,Berea,-1,-1,55+,Male,Migrant,Secondary,Missing
297230,Johannesburg,Berea,-1,-1,25-34,Male,Non-migrant,Secondary,Missing
297231,Johannesburg,Berea,-1,-1,25-34,Male,Non-migrant,Secondary,Employed
297232,Johannesburg,Berea,-1,-1,25-34,Male,Non-migrant,Secondary,Missing
297233,Johannesburg,Berea,-1,-1,18-24,Male,Migrant,Secondary,Unemployed
297245,Johannesburg,Berea,-1,-1,18-24,Male,Non-migrant,Secondary,Missing
297246,Johannesburg,Berea,-1,-1,25-34,Female,Migrant,Secondary,Employed
297247,Johannesburg,Berea,-1,-1,45-54,Female,Non-migrant,Secondary,Employed
297248,Johannesburg,Berea,-1,-1,25-34,Male,Non-migrant,Secondary,Missing
297249,Johannesburg,Berea,-1,-1,35-44,Female,Migrant,Secondary,Missing
297250,Johannesburg,Berea,-1,-1,25-34,Female,Non-migrant,Secondary,Unemployed
297274,Johannesburg,Berea,-1,-1,18-24,Female,Migrant,Secondary,Missing
297275,Johannesburg,Berea,-1,-1,25-34,Female,Migrant,Tertiary,Missing
297276,Johannesburg,Berea,-1,-1,35-44,Male,Non-migrant,Secondary,Unemployed
297277,Johannesburg,Berea,-1,-1,35-44,Female,Migrant,Secondary,Unemployed
297278,Johannesburg,Berea,-1,-1,18-24,Male,Migrant,Primary,Unemployed
297279,Johannesburg,Berea,-1,-1,18-24,Female,Non-migrant,Secondary,Employed
297280,Johannesburg,Berea,-1,-1,55+,Female,Non-migrant,Primary,Unemployed
297283,Johannesburg,Berea,-1,-1,25-34,Male,Non-migrant,Secondary,Missing
297284,Johannesburg,Berea,-1,-1,45-54,Male,Migrant,Missing,Missing
297287,Johannesburg,Berea,-1,-1,45-54,Female,Migrant,Primary,Missing
